"bwyllie,dw_dxc_dev,smilebrands_claim_status_report__dbt_tmp"
"pdt,lkr,LR$LQ07M1755241406650_realtime_dci_transactions_outbound_vw"
"pdt,lkr,LR$LQ7391755234095634_clearinghouse_claim_statuses"
"pdt,lkr,LR$LQCDP1755266433236_dci_claim_statuses"
"pdt,lkr,LR$LQPAC1755293594531_clearinghouse_enrollment_errors"
"pdt,lkr,LR$LQPAC1755300938467_clearinghouse_enrollment_errors"
"pdt,lkr,LR$LQRMC1755242563835_realtime_dci_transactions_inbound_vw"
"tmort,reports,DssVIP"
"tmort,reports,GEDCclaims"
"tmort,reports,GEDFileSummary"
"tmort,reports,StatementItemSummary"
"tmort,reports,TempDenticonUsers"
"tmort,reports,dfcgroups"
"tmort,reports,tomdcp20110404load"
